,Date,Type,Teams,Live,Prediction,Status,Score
0,2022-10-06,PRESEASON,"['Bucks', 'Hawks']",False,,Final,113-123
1,2022-10-06,PRESEASON,"['Heat', 'Nets']",False,,Final,109-80
2,2022-10-06,PRESEASON,"['36ers', 'Thunder']",False,,Final,98-131
3,2022-10-06,PRESEASON,"['Magic', 'Spurs']",False,,Final,102-99
4,2022-10-06,PRESEASON,"[""Maccabi Ra'anana"", 'Trail Blazers']",False,,Final,85-138
5,2022-10-06,PRESEASON,"['Timberwolves', 'Lakers']",False,,Final,114-99
6,2022-10-07,PRESEASON,"['Celtics', 'Hornets']",False,Celtics,7:30 pm ET,
7,2022-10-07,PRESEASON,"['Pacers', 'Knicks']",False,Pacers,7:30 pm ET,
8,2022-10-07,PRESEASON,"['Nuggets', 'Bulls']",False,Bulls,8:00 pm ET,
9,2022-10-07,PRESEASON,"['Raptors', 'Rockets']",False,Rockets,8:00 pm ET,
10,2022-10-07,PRESEASON,"['Heat', 'Grizzlies']",False,Heat,8:00 pm ET,
11,2022-10-07,PRESEASON,"['Pistons', 'Pelicans']",False,Pelicans,8:00 pm ET,
12,2022-10-07,PRESEASON,"['Magic', 'Mavericks']",False,Mavericks,8:30 pm ET,
13,2022-10-08,PRESEASON,"['Hawks', 'Bucks']",False,Hawks,12:00 pm ET,
14,2022-10-09,PRESEASON,"['Bulls', 'Raptors']",False,Bulls,6:00 pm ET,
15,2022-10-09,PRESEASON,"[""Maccabi Ra'anana"", 'Thunder']",False,Maccabi Ra'anana,7:00 pm ET,
16,2022-10-09,PRESEASON,"['Pelicans', 'Spurs']",False,Pelicans,7:00 pm ET,
17,2022-10-09,PRESEASON,"['Lakers', 'Warriors']",False,Lakers,8:30 pm ET,
18,2022-10-09,PRESEASON,"['Trail Blazers', 'Kings']",False,Trail Blazers,9:00 pm ET,
19,2022-10-09,PRESEASON,"['Timberwolves', 'Clippers']",False,Timberwolves,10:30 pm ET,
20,2022-10-10,PRESEASON,"['Wizards', 'Hornets']",False,Wizards,7:00 pm ET,
21,2022-10-10,PRESEASON,"['76ers', 'Cavaliers']",False,76ers,7:00 pm ET,
22,2022-10-10,PRESEASON,"['Rockets', 'Heat']",False,Rockets,7:30 pm ET,
23,2022-10-10,PRESEASON,"['Suns', 'Nuggets']",False,Suns,9:00 pm ET,
24,2022-10-11,PRESEASON,"['Thunder', 'Pistons']",False,Thunder,7:00 pm ET,
25,2022-10-11,PRESEASON,"['Grizzlies', 'Magic']",False,Grizzlies,7:00 pm ET,
26,2022-10-11,PRESEASON,"['Bucks', 'Bulls']",False,Bulls,8:00 pm ET,
27,2022-10-11,PRESEASON,"['Spurs', 'Jazz']",False,Spurs,9:00 pm ET,
28,2022-10-11,PRESEASON,"['Trail Blazers', 'Warriors']",False,Trail Blazers,10:00 pm ET,
29,2022-10-12,PRESEASON,"['Hawks', 'Cavaliers']",False,Hawks,7:00 pm ET,
30,2022-10-12,PRESEASON,"['Knicks', 'Pacers']",False,Pacers,7:00 pm ET,
31,2022-10-12,PRESEASON,"['Hornets', '76ers']",False,Hornets,7:00 pm ET,
32,2022-10-12,PRESEASON,"['Pelicans', 'Heat']",False,Pelicans,7:30 pm ET,
